Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Mean_earnings_After_6_Years,Mean_earnings_After_7_Years,Mean_earnings_After_8_Years,Mean_earnings_After_9_Years,Mean_earnings_After_10_Years,Pop,Avg_Mean_earning
Taylor University,IN,0,0,0,0,0,0,0,0,0,0.7461,1233,50672,NA,NA,NA,NA,NA,14347,14578,22529,26531,30969,0.8076,0.0283,0.0475,0.0306,6e-4,0.0017,0.0294,0.3652,15500,31454,0.1626,0.7902,0.6,0.6842,0.9231,0.6667,1,0,31600,34000,38000,40400,42600,1767,37320
Grand View University,IA,0,0,0,0,0,0,0,0,0,0.9841,NA,43078,NA,NA,NA,NA,NA,18695,18602,19016,20212,24232,0.6,0.0957,0.1056,0.0367,0.0046,0.0013,0.0393,0.6957,15097,15154,0.3946,0.5642,0.2,0.5417,0.4,0.5,1,0.375,39800,38500,40900,38300,45200,1525,40540
Iowa State University,IA,0,0,0,0,0,0,0,0,0,0.9022,1197,21932,7532,9230,12102,17262,20129,NA,NA,NA,NA,NA,0.7705,0.0263,0.0713,0.0437,0.0016,7e-4,0.0295,0.4661,18750,22340,0.1935,0.7612,0.6014,0.6306,0.7085,0.5556,0.75,0.7296,44000,44400,49300,49600,56000,24994,48660
Iowa Wesleyan University,IA,0,0,0,0,0,0,0,0,0,0.8081,1003,46894,NA,NA,NA,NA,NA,19449,19274,18079,24888,23332,0.4223,0.1757,0.0627,0.0027,0.0014,0.0027,0.1553,0.6479,12000,12233,0.5341,0.34,0.2037,0.4615,0,0,0,0.3571,32700,31400,35900,34000,39900,734,34780
University of Iowa,IA,0,0,0,0,0,0,0,0,0,0.86,1222,26358,13749,15525,19144,22674,23541,NA,NA,NA,NA,NA,0.7453,0.0301,0.0892,0.0475,0.0014,7e-4,0.0375,0.4046,18207,26023,0.1904,0.753,0.5882,0.6533,0.7155,0.4545,0.8,0.6927,47700,47300,56100,55500,62000,21545,53720
Morningside University,IA,0,0,0,0,0,0,0,0,0,0.7061,NA,48778,NA,NA,NA,NA,NA,20924,23014,22488,24352,25729,0.6349,0.0374,0.0851,0.0153,0.0077,0.0034,0.04,0.702,15750,17540,0.3172,0.6038,0.5,0.35,0.6667,0.5,0,0.3333,38000,36400,42400,37400,47900,1175,40420
University of Northern Iowa,IA,0,0,0,0,0,0,0,0,0,0.9495,1121,20969,10137,11583,14349,16504,16079,NA,NA,NA,NA,NA,0.8459,0.0292,0.0555,0.0153,0.0012,4e-4,0.0269,0.466,16486,14932,0.265,0.6502,0.5091,0.5325,0.8,0.4615,0.5,0.4524,39600,39700,44800,43500,49700,7571,43460
Waldorf University,IA,0,0,0,0,0,0,0,0,0,0.7386,NA,36036,NA,NA,NA,NA,NA,17226,17410,16780,20391,21078,0.4706,0.1071,0.0323,0.0126,0.0081,0.0054,0.0282,0.4315,12025,10232,0.3404,0.2778,0.2917,0.2667,0,0.3333,0,0.1429,32900,31500,37300,36600,42400,2231,36140
William Penn University,IA,0,0,0,0,0,0,0,0,0,0.5767,971,39936,NA,NA,NA,NA,NA,20120,21705,21392,23377,24004,0.5705,0.1652,0.0991,0.0088,0.0066,0.0103,0.0441,0.8827,12000,11087,0.4806,0.4,0.1912,0.1364,0.5,0.5,0,0.25,36900,40100,41900,43800,46400,1362,41820
Baker University,KS,0,0,0,0,0,0,0,0,0,0.9175,1050,47258,NA,NA,NA,NA,NA,13810,19748,20606,24437,26736,0.6404,0.1004,0.1166,0.017,0.0126,0.0036,0.0484,0.4456,18530,19854,0.2894,0.529,0.3077,0.3636,1,0.2,1,0.5455,48500,48500,51400,53100,59500,1115,52200
Benedictine College,KS,0,0,0,0,0,0,0,0,0,0.9883,1220,51009,NA,NA,NA,NA,NA,22129,23509,23855,27223,31482,0.7675,0.0311,0.1137,0.0158,0.0028,0.0028,0.0297,0.4382,18570,27379,0.1683,0.708,0.25,0.6957,0.4,0.5,0,0.7143,35500,33900,39900,41100,45000,2155,39080
Bethany College,KS,0,0,0,0,0,0,0,0,0,0.6603,1010,50636,NA,NA,NA,NA,NA,29674,31381,30748,29235,27780,0.4722,0.1988,0.1886,0.0175,0.0146,0.0073,0.0395,0.7178,9500,16339,0.4732,0.3143,0.2424,0.2667,0,0,0.5,0.5455,32100,34300,37400,40600,45100,684,37900
Bethel College-North Newton,KS,0,0,0,0,0,0,0,0,0,0.9715,1082,46600,NA,NA,NA,NA,NA,25516,23113,20929,25786,26178,0.5392,0.1811,0.1569,0.0181,0.0362,0.004,0,0.688,12000,19152,0.3306,0.6133,0.3077,0.5,0,0,0,0,36600,36100,40600,39500,45600,497,39680
Emporia State University,KS,0,0,0,0,0,0,0,0,0,0.9567,1090,19376,10908,11563,14224,17265,16763,NA,NA,NA,NA,NA,0.7262,0.0342,0.0616,0.0128,0.0079,0.0011,0.0984,0.5963,14000,12182,0.3442,0.5612,0.3542,0.3902,0.4,1,0,0.4107,33000,33000,36300,37100,40300,2663,35940
University of Kansas,KS,0,0,0,0,0,0,0,0,0,0.8784,1192,24888,13722,14285,16259,20905,22171,NA,NA,NA,NA,NA,0.6931,0.0415,0.0994,0.0607,0.0044,9e-4,0.0564,0.3647,15500,31000,0.2021,0.694,0.4835,0.6082,0.7527,0.3571,1,0.5905,45100,43900,52300,48400,59300,18539,49800
Kansas State University,KS,0,0,0,0,0,0,0,0,0,0.9514,NA,24923,12572,11754,15733,19716,21714,NA,NA,NA,NA,NA,0.7978,0.0272,0.0848,0.0183,0.0041,9e-4,0.0377,0.3791,17294,23000,0.2015,0.7186,0.5135,0.5551,0.6226,0.6471,0.4286,0.6013,41400,41100,46600,46300,51900,14762,45460
MidAmerica Nazarene University,KS,0,0,0,0,0,0,0,0,0,0.6682,1048,51534,NA,NA,NA,NA,NA,29135,23939,26671,30232,31929,0.6133,0.1385,0.0544,0.0133,0.0092,0.0072,0.0513,0.5551,12912,18862,0.3631,0.4951,0.1563,0.3846,0,0.5,0,0.4444,45700,40700,44700,44000,49600,975,44940
Southwestern College,KS,0,0,0,0,0,0,0,0,0,0.7016,1026,51374,NA,NA,NA,NA,NA,22503,24331,27662,30261,30785,0.421,0.1495,0.1457,0.019,0.0105,0.0067,0.0229,0.445,12500,17550,0.3886,0.4699,0.3784,0.3,0.5,0.1429,0,0.25,41200,45700,47600,49600,54000,1050,47620
Wichita State University,KS,0,0,0,0,0,0,0,0,0,0.9485,1118,20964,9648,10609,12506,16757,18367,NA,NA,NA,NA,NA,0.5791,0.0589,0.1595,0.0722,0.006,0.0014,0.0553,0.3706,14700,13547,0.3476,0.5417,0.4565,0.5291,0.6696,0.5,0,0.4304,38900,37800,42800,41600,45400,10304,41300
Bellarmine University,KY,0,0,0,0,0,0,0,0,0,0.8778,1191,58078,NA,NA,NA,NA,NA,19753,18070,18940,23891,25255,0.738,0.0778,0.076,0.0299,0.0018,0.0018,0.0484,0.543,20000,19154,0.2431,0.5996,0.5313,0.6286,0.7273,0.3333,1,0.6667,43100,44600,48400,47100,50600,2275,46760
University of the Cumberlands,KY,0,0,0,0,0,0,0,0,0,0.8302,1049,24278,NA,NA,NA,NA,NA,11340,11522,14180,17292,18790,0.3569,0.0276,0.0048,0.0056,0.0017,0.002,7e-4,0.4588,8592,8000,0.5488,0.4805,0.25,0.2222,1,0.5,1,0.1,28500,30400,35800,34200,38200,4609,33420
Eastern Kentucky University,KY,0,0,0,0,0,0,0,0,0,0.6431,1051,21228,8403,7357,9896,13291,14314,NA,NA,NA,NA,NA,0.8042,0.0691,0.0504,0.0129,0.0025,0.0011,0.0448,0.4395,14929,13719,0.4054,0.5129,0.2579,0.4167,0.625,0.6,0,0.4105,32700,33000,36300,35700,39300,11215,35400
University of Kentucky,KY,0,0,0,0,0,0,0,0,0,0.9489,1189,30635,10597,11156,13939,19294,22835,NA,NA,NA,NA,NA,0.7604,0.0673,0.0614,0.0358,0.0019,7e-4,0.041,0.3553,16750,30000,0.2172,0.7125,0.5231,0.6296,0.7244,0.5,1,0.6232,43500,42200,51700,46300,54000,22115,47540
University of Louisville,KY,0,0,0,0,0,0,0,0,0,0.8154,1153,29595,15470,15276,17760,22684,23520,NA,NA,NA,NA,NA,0.6474,0.149,0.0731,0.053,0.0014,5e-4,0.061,0.3044,13750,18984,0.3298,0.629,0.6194,0.5088,0.7353,0,0,0.5476,38200,38200,42700,42600,48600,13822,42060
Morehead State University,KY,0,0,0,0,0,0,0,0,0,0.8397,NA,21837,8454,9066,11199,14813,14896,NA,NA,NA,NA,NA,0.8721,0.0337,0.0275,0.0078,6e-4,8e-4,0.0337,0.3531,14705,8000,0.4912,0.4769,0.4,0.3913,0.25,0,0.5,0.303,30000,29000,32600,33200,37000,4864,32360
Northern Kentucky University,KY,0,0,0,0,0,0,0,0,0,0.8601,1123,18899,466,2082,6219,10860,12744,NA,NA,NA,NA,NA,0.7701,0.0702,0.0455,0.0169,0.0014,0.001,0.0323,0.3531,15159,12502,0.3146,0.5083,0.4146,0.3864,0.5556,0,1,0.4615,35200,33900,38400,37000,41800,8677,37260
Thomas More University,KY,0,0,0,0,0,0,0,0,0,0.9424,1092,45868,NA,NA,NA,NA,NA,12814,12811,15958,21028,22295,0.7585,0.0803,0.0387,0.0127,0.0014,0,0.0317,0.4782,14376,16259,0.3462,0.4877,0.1515,0.2857,0.6,0,0.3333,0.3333,46700,46000,54300,49700,58900,1420,51120
Western Kentucky University,KY,0,0,0,0,0,0,0,0,0,0.9695,1088,23211,11845,16978,15982,17876,18666,NA,NA,NA,NA,NA,0.7675,0.0897,0.0537,0.0283,0.0024,0.0011,0.0389,0.3804,14702,14578,0.3407,0.5757,0.231,0.5429,0.5676,0.0833,0.5,0.2937,30800,31100,35900,36000,38600,12149,34480
Louisiana State University and Agricultural & Mechanical College,LA,0,0,0,0,0,0,0,0,0,0.7572,1221,33322,13629,16365,20379,24391,24889,NA,NA,NA,NA,NA,0.6264,0.1731,0.0925,0.0501,0.0054,9e-4,0.0285,0.2646,12956,22304,0.2747,0.7219,0.5804,0.6724,0.7361,0.6111,0.7143,0.6901,45000,45800,52000,51800,60100,27729,50940
University of Louisiana at Monroe,LA,0,0,0,0,0,0,0,0,0,0.7011,1132,22653,10488,10199,12108,15494,14173,NA,NA,NA,NA,NA,0.6051,0.2309,0.0306,0.0151,0.0036,4e-4,0.027,0.3627,15000,8926,0.4355,0.5355,0.4185,0.4,0.6087,0.6,1,0.3846,38100,40100,41700,41000,46300,5032,41440
Northwestern State University of Louisiana,LA,0,0,0,0,0,0,0,0,0,0.9793,1089,23950,14364,14415,16754,18215,18112,NA,NA,NA,NA,NA,0.535,0.2957,0.0662,0.0098,0.0131,8e-4,0.0466,0.3875,15000,10071,0.4682,0.4783,0.4433,0.4224,0.3333,0.5769,0,0.4038,35700,33000,39300,38300,39600,6243,37180
Southeastern Louisiana University,LA,0,0,0,0,0,0,0,0,0,0.9898,1090,21784,9883,10497,13458,15114,16048,NA,NA,NA,NA,NA,0.6627,0.1976,0.0723,0.0096,0.0019,7e-4,0.0401,0.3363,11077,10000,0.4246,0.4832,0.331,0.4143,0.5,0.5714,1,0.3596,34600,34200,38900,37600,42800,9567,37620
University of Louisiana at Lafayette,LA,0,0,0,0,0,0,0,0,0,0.7456,NA,23800,11325,12030,15188,17222,18192,NA,NA,NA,NA,NA,0.5991,0.2489,0.0544,0.0239,0.004,0.0011,0.0391,0.4125,14991,13718,0.3995,0.5579,0.392,0.4938,0.5902,0.2,0,0.3944,37200,36100,42000,41400,46400,11932,40620
Tulane University of Louisiana,LA,0,0,0,0,0,0,0,0,0,0.1145,1443,80932,NA,NA,NA,NA,NA,24758,25683,30585,31041,57579,0.677,0.0651,0.0923,0.0529,7e-4,6e-4,0.0485,0.2292,19250,39949,0.0944,0.8804,0.7848,0.8692,0.875,1,1,0.8448,48400,59400,64000,63800,86300,8490,64380
Bowdoin College,ME,0,0,0,0,0,0,0,0,0,0.0919,1520,76310,NA,NA,NA,NA,NA,2706,5760,10068,19525,38863,0.5563,0.0602,0.1325,0.0932,0.001,0.0016,0.0885,0.102,12000,37572,0.1561,0.9527,0.875,0.963,0.913,1,1,0.8333,57100,55600,62700,63300,83300,1909,64400
Colby College,ME,0,0,0,0,0,0,0,0,0,0.0761,1501,78665,NA,NA,NA,NA,NA,1692,2047,4509,15589,39186,0.5607,0.0535,0.08,0.0983,0.0017,4e-4,0.0661,0.1057,15000,61251,0.1406,0.8879,0.8462,0.881,0.9,1,1,0.875,50200,49500,64900,59800,71000,2299,59080
Saint Joseph's College of Maine,ME,0,0,0,0,0,0,0,0,0,0.8084,1060,56612,NA,NA,NA,NA,NA,23306,27589,25877,31074,31131,0.8089,0.0374,0.0509,0.0104,0.0021,0.0021,0.0291,0.6445,19576,31583,0.2173,0.7318,0.3333,0.4615,0.5,0,0,0.625,42500,38900,48600,41300,47000,963,43660
University of Southern Maine,ME,0,0,0,0,0,0,0,0,0,0.8543,1109,21010,7818,8088,11405,15004,17065,NA,NA,NA,NA,NA,0.7682,0.078,0.0451,0.0257,0.0065,9e-4,0.0342,0.3366,12887,10991,0.3571,0.435,0.2791,0.2903,0.3913,0.1818,0,0.4333,35600,36300,40300,38200,44400,4322,38960
University of Baltimore,MD,0,1,0,0,0,0,0,0,0,0.8933,980,25573,15324,16555,17411,20780,23198,NA,NA,NA,NA,NA,0.2791,0.4782,0.097,0.0444,0.0022,0.0015,0.054,0.3938,18972,12832,0.4421,0.2857,0.3457,0.6667,0.375,0.5,0,0,45100,52100,60700,59200,63400,1351,56100
Johns Hopkins University,MD,0,0,0,0,0,0,0,0,0,0.0725,1553,78415,NA,NA,NA,NA,NA,156,4342,6419,12838,39451,0.2063,0.0925,0.204,0.2665,9e-4,2e-4,0.0672,0.107,9000,50000,0.1926,0.9374,0.9524,0.9202,0.9539,0.6667,0.8,0.9206,68000,69300,78400,79700,89300,5643,76940
Loyola University Maryland,MD,0,0,0,0,0,0,0,0,0,0.8348,1285,69819,NA,NA,NA,NA,NA,23406,25405,24427,28937,36362,0.6557,0.1033,0.1358,0.0363,0.001,0.001,0.0446,0.5115,23882,55415,0.1583,0.8016,0.6341,0.8125,0.7027,0.75,0,0.7222,52000,57600,64000,67300,78300,3968,63840
University of Maryland-College Park,MD,0,0,0,0,0,0,0,0,0,0.4461,1461,26781,3907,10123,14312,21675,24937,NA,NA,NA,NA,NA,0.4189,0.1268,0.1038,0.2252,0.0011,5e-4,0.0484,0.2304,17000,35536,0.1866,0.9082,0.8291,0.8532,0.9244,0.8,1,0.881,50100,55000,59500,62800,70800,29982,59640
Mount St. Mary's University,MD,0,0,0,0,0,0,0,0,0,0.7957,1146,60493,NA,NA,NA,NA,NA,16102,15591,21503,25440,28416,0.5373,0.1897,0.1398,0.028,0.0044,0.0033,0.0455,0.5445,15000,34630,0.2787,0.697,0.5424,0.6957,0.4667,1,1,0.5,42000,46100,51600,53300,56600,1824,49920
Salisbury University,MD,0,0,0,0,0,0,0,0,0,0.9106,1237,25314,10337,13682,17318,21035,22991,NA,NA,NA,NA,NA,0.6976,0.1336,0.0672,0.0329,0.0044,0.001,0.0368,0.4042,15750,24572,0.2389,0.7125,0.6242,0.6885,0.5246,0.2857,0.6667,0.5714,40000,43200,46800,48800,54200,6145,46600
Towson University,MD,0,0,0,0,0,0,0,0,0,0.786,1138,25928,4880,8585,13978,19877,23353,NA,NA,NA,NA,NA,0.4423,0.3053,0.1026,0.068,0.001,5e-4,0.0552,0.4069,15362,22238,0.3267,0.7156,0.6727,0.6471,0.7446,0.2,1,0.6566,41900,45300,49000,51200,55100,16734,48500
Stevenson University,MD,0,0,0,0,0,0,0,0,0,0.841,NA,55942,NA,NA,NA,NA,NA,18283,23357,27138,29574,30648,0.5005,0.2776,0.1004,0.0366,0.0023,3e-4,0.054,0.4988,21500,42112,0.2903,0.6941,0.5207,0.8043,0.7857,0,0,0.6279,43800,46400,49000,54500,54600,2979,49660
American International College,MA,0,0,0,0,0,0,0,0,0,0.8936,NA,53236,NA,NA,NA,NA,NA,22733,25507,24677,24566,20993,0.3494,0.2653,0.2373,0.014,0.0026,0.0158,0.0412,0.8012,21063,21150,0.5202,0.48,0.3267,0.3171,0,0.3333,0.4286,1,41700,37900,45600,44200,50000,1142,43880
Boston College,MA,0,0,0,0,0,0,0,0,0,0.1666,1500,80560,NA,NA,NA,NA,NA,10988,7260,15264,24041,55461,0.5841,0.0498,0.112,0.1141,0.0012,4e-4,0.0337,0.3259,17962,49423,0.1275,0.9272,0.8415,0.9237,0.8406,1,0,0.8696,64900,72500,82200,79300,92500,9751,78280
Boston University,MA,0,0,0,0,0,0,0,0,0,0.1437,1454,79463,NA,NA,NA,NA,NA,10164,9536,14838,24109,48841,0.3333,0.0498,0.1077,0.1979,3e-4,8e-4,0.0461,0.2389,21500,53754,0.1793,0.8906,0.8833,0.8414,0.922,1,1,0.9328,52800,54700,63400,63600,75900,17668,62080
Bridgewater State University,MA,0,0,0,0,0,0,0,0,0,0.8771,1110,24818,12275,13478,16847,19505,22496,NA,NA,NA,NA,NA,0.7033,0.1092,0.0948,0.021,0.001,5e-4,0.0609,0.7004,18746,14213,0.3234,0.5857,0.483,0.5122,0.5161,0.5,1,0.4286,37500,37400,42200,41500,47900,7911,41300
Endicott College,MA,0,0,0,0,0,0,0,0,0,0.7331,1205,55970,NA,NA,NA,NA,NA,27284,25558,29361,33271,40811,0.8479,0.0147,0.0504,0.0147,7e-4,3e-4,0.0247,0.6412,23250,42134,0.1404,0.805,0.4167,0.7308,0.6667,0.5,1,0.4545,45100,43400,53400,45400,56200,2999,48700
University of Massachusetts-Amherst,MA,0,0,0,0,0,0,0,0,0,0.6352,1376,32355,10858,11824,15768,22651,29809,NA,NA,NA,NA,NA,0.5931,0.0463,0.0844,0.1279,7e-4,6e-4,0.0406,0.4798,20000,23731,0.2105,0.8469,0.8079,0.75,0.8144,0.75,1,0.7727,44200,43400,51600,50900,57700,24111,49560
University of Massachusetts-Boston,MA,0,0,0,0,1,0,0,0,0,0.8076,1198,28946,13107,14259,16926,22747,24658,NA,NA,NA,NA,NA,0.3294,0.1791,0.1942,0.1594,6e-4,4e-4,0.0381,0.5164,15000,11050,0.4362,0.5058,0.4419,0.4816,0.6111,0.25,1,0.44,42600,43800,48600,47700,53700,11749,47280
Merrimack College,MA,0,0,0,0,0,0,0,0,0,0.7463,NA,65121,NA,NA,NA,NA,NA,26132,28586,34604,34545,39754,0.7843,0.0396,0.0891,0.0155,0.0012,2e-4,0.0244,0.6245,23750,50334,0.1659,0.7,0.575,0.5185,0.5652,0,1,0.6,47000,46200,57200,55800,62200,4065,53680
Western New England University,MA,0,0,0,0,0,0,0,0,0,0.8801,1194,54933,NA,NA,NA,NA,NA,25284,25410,28093,30758,32256,0.7306,0.0537,0.1028,0.0291,8e-4,8e-4,0.0304,0.802,19500,38528,0.2422,0.7279,0.4091,0.5313,0.4667,0,1,0.6,46800,50200,52100,58400,61300,2402,53760
Adrian College,MI,0,0,0,0,0,0,0,0,0,0.6906,1050,56391,NA,NA,NA,NA,NA,18619,20384,21237,25896,28434,0.6143,0.0741,0.061,0.0065,0.0012,0.0053,0.0338,0.7074,16000,23671,0.3201,0.5619,0.25,0.3929,0.3333,0,0,0.3704,34000,32700,42100,37500,42800,1688,37820
Central Michigan University,MI,0,0,0,0,0,0,0,0,0,0.7895,1104,26077,10003,10153,12071,15385,17921,NA,NA,NA,NA,NA,0.7606,0.0968,0.0527,0.0136,0.0084,0.0011,0.0386,0.6938,23183,19195,0.3121,0.6489,0.5089,0.5282,0.7381,0.2857,0.2857,0.4633,37600,36600,42400,42100,46200,10297,40980
Concordia University Ann Arbor,MI,0,0,0,0,0,0,0,0,0,0.7018,1050,47701,NA,NA,NA,NA,NA,19961,23957,24378,25271,28520,0.7319,0.1044,0.0558,0.0071,0.0024,0,0.0451,0.5795,19500,28245,0.2757,0.5486,0.4167,0.25,0,1,1,0.5,40400,41500,44600,42800,47300,843,43320
Davenport University,MI,0,0,0,0,0,0,0,0,0,0.9891,NA,34159,NA,NA,NA,NA,NA,17260,21620,21209,18334,22340,0.6471,0.1205,0.0753,0.0255,0.005,0.0029,0.0363,0.4685,17353,18617,0.3662,0.5648,0.234,0.1667,0.5385,0.5,0.5,0.36,35100,29600,34000,33100,35400,3412,33440
Eastern Michigan University,MI,0,0,0,0,0,0,0,0,0,0.8323,1056,26085,13457,13435,14645,19192,20259,NA,NA,NA,NA,NA,0.5734,0.1712,0.0959,0.0328,0.0024,0.0012,0.0447,0.4595,18750,13985,0.385,0.5224,0.3348,0.3675,0.6071,0.3333,1,0.4176,35300,34700,40100,38900,43900,11206,38580
Ferris State University,MI,0,0,0,0,0,0,0,0,0,0.8788,1032,25135,6265,9491,14121,18154,20728,NA,NA,NA,NA,NA,0.754,0.0908,0.0679,0.0142,0.0074,7e-4,0.0328,0.463,15500,13098,0.36,0.5342,0.2563,0.3704,0.6176,0.2857,1,0.4167,40300,40100,46100,42600,49600,8390,43740
Grand Valley State University,MI,0,0,0,0,0,0,0,0,0,0.9037,1092,25379,8344,9395,12987,17964,21496,NA,NA,NA,NA,NA,0.7937,0.0528,0.0679,0.0282,0.0032,5e-4,0.0362,0.4917,19500,20304,0.2535,0.6872,0.4954,0.5513,0.6207,0.7692,0.5,0.6111,37700,37500,42800,40400,47200,18487,41120
University of Michigan-Ann Arbor,MI,0,0,0,0,0,0,0,0,0,0.1769,1473,32139,5713,7376,11621,17865,27711,NA,NA,NA,NA,NA,0.5114,0.041,0.0831,0.1801,0.0012,6e-4,0.0507,0.2567,17625,40000,0.1777,0.9404,0.8225,0.8879,0.9609,1,0.75,0.8865,55900,61500,68200,67700,79000,32448,66460
Michigan State University,MI,0,0,0,0,0,0,0,0,0,0.8795,1273,29204,7087,13687,19682,25247,27297,NA,NA,NA,NA,NA,0.6732,0.0663,0.0602,0.0774,0.0024,7e-4,0.0408,0.3409,19500,37703,0.2173,0.855,0.6508,0.6697,0.7982,0.6111,1,0.7652,45200,47300,52700,54300,63200,39021,52540
Michigan Technological University,MI,0,0,0,0,0,0,0,0,0,0.9368,1245,31297,6756,6473,13793,17134,23675,NA,NA,NA,NA,NA,0.8464,0.0098,0.0291,0.022,0.0046,2e-4,0.0375,0.4667,20500,25687,0.1949,0.6905,0.375,0.439,0.5455,0.1429,1,0.7805,54000,53400,58400,58200,66800,5633,58160
University of Michigan-Dearborn,MI,0,0,0,0,0,0,0,0,0,0.541,1156,22327,8655,9103,11254,16865,19513,NA,NA,NA,NA,NA,0.6614,0.0802,0.0681,0.0928,0.0015,3e-4,0.048,0.3578,17000,12417,0.4244,0.5863,0.4,0.4,0.5856,0.5,0.5,0.4545,41800,43300,46900,49000,56200,5962,47440
Oakland University,MI,0,0,0,0,0,0,0,0,0,0.9005,1140,23669,8135,8139,11703,17798,20242,NA,NA,NA,NA,NA,0.7017,0.0903,0.0483,0.06,0.002,0.001,0.0413,0.3915,16787,14486,0.3074,0.6166,0.319,0.4775,0.5537,0.8333,0.6667,0.5,39700,38900,45400,43500,48100,12626,43120
Wayne State University,MI,0,0,0,0,1,0,0,0,0,0.7532,1147,25942,11790,11591,14049,18557,21069,NA,NA,NA,NA,NA,0.5531,0.158,0.0694,0.1339,0.0025,4e-4,0.0418,0.3918,16597,14337,0.448,0.64,0.3985,0.5032,0.7025,0.3333,1,0.4336,37900,43300,44300,48200,52300,15669,45200
Western Michigan University,MI,0,0,0,0,0,0,0,0,0,0.8455,1105,27150,11928,15061,19705,22682,24944,NA,NA,NA,NA,NA,0.691,0.084,0.0841,0.0241,0.0034,5e-4,0.0404,0.4876,20115,20024,0.2652,0.6144,0.3598,0.4746,0.5833,0.7273,1,0.4366,35300,39000,42400,44300,50500,13264,42300
Bethel University,MN,0,0,0,0,0,0,0,0,0,0.7249,1190,54444,NA,NA,NA,NA,NA,21600,24105,22265,27349,33418,0.7722,0.0536,0.0703,0.0469,0.0048,0.0019,0.0388,0.4994,18272,25076,0.236,0.7978,0.4,0.5,0.7368,1,1,0.6667,46100,44600,49600,47100,52600,2090,48000
Macalester College,MN,0,0,0,0,0,0,0,0,0,0.2842,1430,76357,NA,NA,NA,NA,NA,12933,14488,17913,25149,40691,0.5374,0.0587,0.1021,0.0758,0.0023,0.0083,0.0836,0.4118,19500,36129,0.1843,0.8889,0.7647,0.8611,0.8095,0,1,0.9565,36900,40900,44100,46700,55800,2164,44880
Minnesota State University-Mankato,MN,0,0,0,0,0,0,0,0,0,0.7068,1090,21824,12115,12389,14810,18896,21186,NA,NA,NA,NA,NA,0.7132,0.0587,0.0565,0.0368,0.0026,3e-4,0.033,0.4294,14000,12000,0.2447,0.5568,0.4018,0.3968,0.4457,0.2857,0,0.3958,38800,39000,44200,43200,48400,11354,42720
University of Minnesota-Twin Cities,MN,0,0,0,0,1,0,0,0,0,0.7491,1355,27446,6933,7032,10850,18380,25233,NA,NA,NA,NA,NA,0.6112,0.0792,0.058,0.1242,0.0031,6e-4,0.0475,0.3054,16727,22977,0.2067,0.8544,0.7806,0.7668,0.8309,0.5,0.8,0.822,46000,46500,54400,51300,61200,30560,51880
University of Minnesota-Duluth,MN,0,0,0,0,0,0,0,0,0,0.807,1220,25901,3137,4293,11465,17694,24097,NA,NA,NA,NA,NA,0.8352,0.0237,0.0383,0.0344,0.0055,3e-4,0.0386,0.453,16000,17977,0.2119,0.6409,0.5686,0.5135,0.5341,0.4286,1,0.4571,40900,41500,49100,47300,56300,7754,47020
University of Northwestern-St Paul,MN,0,0,0,0,0,0,0,0,0,0.9251,1186,46115,NA,NA,NA,NA,NA,20494,17640,22829,23377,28163,0.787,0.0483,0.0529,0.039,0,0,0.0437,0.2825,17750,24524,0.3171,0.7463,0.2857,0.4444,0.5882,0.5,0,0.6154,35200,34200,40100,37600,43400,1512,38100
Saint Cloud State University,MN,0,0,0,0,0,0,0,0,0,0.9528,1093,20529,10744,11452,12692,16707,19275,NA,NA,NA,NA,NA,0.6263,0.1121,0.0504,0.0519,0.0026,4e-4,0.0345,0.2884,14362,9261,0.3393,0.4605,0.2917,0.3171,0.3137,0,0,0.2364,38000,39100,43400,42600,48600,5395,42340
The College of Saint Scholastica,MN,0,0,0,0,0,0,0,0,0,0.9661,1220,52561,NA,NA,NA,NA,NA,16210,18450,19855,24944,27739,0.7837,0.0484,0.0359,0.0265,0.0156,0.001,0.0224,0.5574,17125,19644,0.2462,0.6863,0.4,0.6667,0.6364,0.6667,0,0.4615,48600,47700,52600,51500,56000,1923,51280
